participant_id,age,sex,handedness
A00008326,59,FEMALE,RIGHT
A00008399,23,MALE,RIGHT
A00013809,61,FEMALE,RIGHT
A00019903,83,MALE,RIGHT
A00021039,67,FEMALE,RIGHT
A00025566,72,MALE,RIGHT 
A00027443,15,MALE,RIGHT
A00027544,22,MALE,RIGHT
A00027651,68,FEMALE,LEFT
A00028150,44,FEMALE,RIGHT
A00028152,51,MALE,RIGHT
A00028177,24,FEMALE,RIGHT
A00028184,57,MALE,LEFT
A00028192,49,MALE,RIGHT
A00028207,26,FEMALE,RIGHT
A00028246,55,FEMALE,RIGHT
A00028266,65,FEMALE,RIGHT
A00028287,21,FEMALE,RIGHT
A00028339,56,FEMALE,RIGHT
A00028340,75,FEMALE,RIGHT
A00028380,60,FEMALE,RIGHT
A00028389,61,MALE,RIGHT
A00028399,53,MALE,RIGHT
A00028400,48,FEMALE,RIGHT
A00028429,20,FEMALE,RIGHT
A00028430,57,FEMALE,RIGHT
A00028468,46,MALE,RIGHT
A00028613,64,FEMALE,RIGHT
A00028625,73,MALE,RIGHT
A00028656,20,FEMALE,RIGHT
A00028678,69,MALE,RIGHT
A00028691,59,FEMALE,RIGHT
A00028694,25,FEMALE,RIGHT
A00028753,41,FEMALE,RIGHT
A00028754,42,FEMALE,RIGHT
A00028766,19,MALE,RIGHT
A00028784,43,FEMALE,RIGHT
A00028822,57,FEMALE,RIGHT
A00028842,42,MALE,RIGHT
A00028844,19,MALE,RIGHT
A00028845,76,MALE,RIGHT
A00028858,80,MALE,RIGHT
A00028912,67,MALE,RIGHT
A00028929,63,FEMALE,RIGHT
A00028994,54,FEMALE,RIGHT
A00028995,49,FEMALE,RIGHT
A00029076,20,MALE,RIGHT
A00029092,20,FEMALE,RIGHT
A00029104,44,FEMALE,RIGHT
A00029127,23,MALE,RIGHT
A00029215,54,FEMALE,RIGHT
A00029219,77,MALE,LEFT
A00029230,51,FEMALE,RIGHT
A00029231,23,FEMALE,RIGHT
A00029303,19,FEMALE,RIGHT
A00029304,32,MALE,RIGHT
A00029979,20,FEMALE,RIGHT
A00030912,62,FEMALE,RIGHT
A00030913,18,MALE,RIGHT
A00030947,36,FEMALE,RIGHT
A00030980,13,FEMALE,RIGHT
A00030981,15,FEMALE,RIGHT
A00030989,30,FEMALE,RIGHT
A00030990,66,FEMALE,RIGHT
A00031145,18,MALE,RIGHT
A00031166,21,MALE,RIGHT
A00031167,47,FEMALE,RIGHT
A00031216,18,FEMALE,RIGHT
A00031217,18,MALE,RIGHT
A00031272,22,FEMALE,RIGHT
