perm_n100,perm_n50,perm_n150,boot_n50,boot_n100,boot_n150
0.755,0.921,0.351,1,1,1
0.674,0.354,0.672,0.766,0.997,1
0.858,0.983,0.693,1,1,1
0.999,0.775,0.941,1,1,1
0.697,0.977,0.397,1,1,1
0.691,0.08,0.376,1,1,1
0.235,0.33,0.347,0.999,1,1
0.664,0.777,0.518,1,1,1
0.465,0.529,0.383,1,1,1
0.706,0.077,0.982,0.864,1,1
0.998,0.894,0.856,0.241,1,1
0.573,0.159,0.348,1,1,1
0.197,0.277,0.38,1,1,1
0.532,0.053,0.346,1,1,1
0.909,0.931,0.519,1,1,1
0.964,0.663,0.326,1,1,1
0.997,0.972,0.304,0.994,1,1
0.337,0.842,0.365,1,1,1
0.754,0.96,0.469,1,1,1
0.908,0.405,0.54,0.999,1,1
0.577,0.002,0.395,1,1,1
0.49,0.999,0.829,0.996,1,1
0.299,0.959,0.358,0.997,1,0.996
0.337,0.202,0.402,0.997,1,1
0.561,0.224,0.331,0.998,1,1
0.951,0.595,0.765,1,1,1
0.475,0.851,0.346,0.986,1,1
0.33,0.065,0.782,1,1,0.995
0.666,0.98,0.375,0.999,1,1
0.294,0.207,0.517,1,1,1
0.597,0.859,0.798,1,0.999,1
0.846,0.976,0.754,1,1,1
0.845,0.179,0.613,1,1,1
0.426,0.97,0.765,1,1,1
0.382,0.427,0.714,1,1,1
0.842,0.736,0.689,1,1,1
0.193,0.178,0.329,0.848,1,1
0.757,0.42,0.715,0.999,1,1
0.619,0.462,0.716,1,1,1
0.96,0.918,0.357,1,1,1
0.027,0.937,0.363,0.933,1,1
0.999,0.995,0.717,1,1,1
1,0.714,0.376,0.922,1,1
0.439,0.915,0.644,0.999,1,1
0.929,0.126,0.328,0.055,1,1
0.402,0.813,0.348,0.997,1,1
0.755,0.153,0.488,1,1,1
0.998,0.661,0.357,1,1,1
0.584,0.998,0.334,0.755,1,1
0.546,0.982,0.405,1,1,1
0.757,0.919,0.323,0.998,0.998,0.743
0.374,0.086,0.376,0.348,1,1
0.341,0.332,0.333,1,1,1
0.337,0.121,0.615,1,1,1
0.911,0.967,0.831,1,1,1
0.907,0.293,0.367,0.915,1,1
0.146,0.761,0.425,1,1,1
0.742,0.842,0.364,1,1,1
1,0.936,0.502,0.54,1,1
0.142,0.498,0.344,0.995,1,0.999
0.854,0.256,0.347,1,1,1
0.311,0.63,0.335,0.999,1,1
0.154,0.595,0.199,1,1,1
0.945,0.89,0.835,1,1,1
1,0.989,0.569,1,1,1
0.835,0.264,0.759,1,1,1
0.548,0.555,0.35,0.986,1,1
0.377,0.918,0.651,1,1,1
0.325,0.72,0.804,0.991,1,1
0.958,0.937,0.739,0.825,1,1
0.999,0.999,0.759,1,1,1
0.785,0.995,0.394,0.995,1,1
0.957,1,0.818,0.997,1,0.837
0.483,0.998,0.761,1,1,1
0.105,0.619,0.345,0.907,1,1
0.975,0.954,0.644,1,1,1
0.52,1,0.357,1,1,1
0.713,0.912,0.365,0.994,1,1
0.637,0.686,0.622,1,1,1
0.774,0.488,0.967,1,1,1
0.337,0.37,0.385,0.991,1,1
0.499,0.363,0.368,1,1,1
0.847,0.393,0.55,0.981,1,0.999
0.585,0.098,0.264,1,1,1
0.263,0.185,0.619,1,1,1
0.336,0.843,0.896,0.996,1,1
0.847,0.553,0.526,1,1,1
0.134,0.665,0.535,0.999,1,1
0.371,0.842,0.359,1,1,1
0.386,0.999,1,1,1,1
0.177,0.942,0.708,1,1,1
0.458,0.739,0.684,1,1,1
0.628,0.527,0.617,0.998,1,1
0.994,0.949,0.385,0.982,1,1
0.783,0.83,0.272,1,1,1
0.651,0.987,0.243,1,1,1
0.79,1,0.365,1,1,1
0.358,1,0.746,1,1,1
1,0.667,0.999,1,1,1
0.346,0.649,0.348,0.998,1,1
